,Reviews
27,My wife I love place. It always good food price right. We love pad thai. So flavorsome. The meatloaf great. It great meaty flavor sweet vinegary glaze. For lighter fare try chopped chicken salad. The drinks inventive.
28,"Typical casual dining fake asian food. Five spieces edamame super excited free foursquare check Im cheap asian, cheap anyway especially everlasting happy hour Black orchid ahi really mediocre, soy sauce came gross Evil jungle princess chicken completely overrated, basically huge bowl generic sauce oil dump"
29,"Upscale, modern appearance progressive really unique dishes specials. They variety unique dishes wines. Handled group 10 problems. Delicious food, great service atmosphere, certainly return next visit."
30,We eat sometimes twice week. Always great food excellent service. The quality beef dishes amazing!
31,"Second visit LL. The first lunch group moms second family. The service excellent saying lot. They didnt ask needed surveyed table kept meal moving. Which I appreciated since three kids us. This traditional chinese, get asian nachos. They giant appetizer unique quite tasty. EVERYONE enjoyed meals happy hour deals pretty good. I see visits future."
32,"Consistently good; love, love honey walnut shrimp brown rice hold mushrooms, yummy."
33,"I went recently family. Being seated booth, I say first impression place great. Its never good thing restaurant booths set claustrophobiainducing style, tables seats crammed together tabletop way close body. I followed Yelp app announcement signed email list order get free lettuce wrap appetizer, decent. For entree I ordered Evil Jungle Princess shrimp fried rice. It sounded really tasty menu, dish ended bland, seemed kind of... mushy overcooked. It wasnt worst thing Ive ever eaten, I would order again. Our server seemed friendly wasnt attentive. My mom waiting get water glass refilled quite while, ended flagging different server. Overall impressed place."
34,I eat here. Because service poor. I went bar. Sat 5 10 min. The persons behind bar. Wakes back fourth front 4 times never said word. Than went back end bar grab bill. Waked back across front went check table still greeting anything. I left went stone vine food service fantastic. At 6ft 200lb first time I felt invisible.
35,"When looking new place try I always try scope menu going. The menu Ling Louies awesome looking items it. When first entered restaurant employees around greet us. It initially confusing whether seat wait hosthostess. Finally someone walked greeted us took us seats. The server pleasant explained restaurant well. We ended ordering handwrapped potstickers, lettuce wraps, new wave pad thai, miso soup. I also gingerlime margarita 22oz Lings lager. The food EXTREMELY disappointing. The potstickers far best items ordered. The lettuce wraps lettuce pad thai tasted strongly GAS wok difficult swallow. The pad thai lacking flavor spice overpowered gas wok flavors may unnoticeable. This goes lettuce wraps well; lettuce use fine, however chicken mix wokd gassy tasting wife struggled finish well. The miso soup equally terrible full thin stringed seaweed. Miso soup seaweed liquid. It awful. To top off, I ordered 22oz lager hopes something wash gas aftertaste suffering through. I received beer 16 MINUTES ordering it, bar NOT busy, Wednesday night. That unacceptable. Drinks quickest easiest thing get customers. This restaurant receives 2 stars good potstickers, good margarita, subpar overall service, lackluster food. If like wokd food tasting primarily like GAS place you! Just us.."
36,A favorite birthdays special occasions. The Evil Jungle Princess Beef go dish!
37,"Classic case good thing going south... something like that. Always great food, time cant get execution down. Service slips seemingly every visit. Gotta get right."
38,Great food great feel! Just moved condos across street I love place!
39,Cool little spot right little shopping center nice restaurants bars. They Asian fusion food interesting drinks appetizers. good happy hour.
40,"First let state reason I deducting star I didnt like entree I ordered, due fact quality food great I would return try different entree menu. I also really enjoyed lettuce wraps, would bring back again. The service amazing! Our waitress, I believe name Ashley cute blonde girl fantastic job! She professional, knowledgeable, personable. The manager also great... He came see everything was, gave us coupon invited us back. The atmosphere modern, cute, laid back fun. I really enjoyed experience I stated previously, I would return try something different menu!"
41,Place line door. Which tells something. Their soap salads scrumptious. Portion sizes enough leftovers. Pricing reasonable excellent quality. Highly recommend.
42,"My friend I went Friday night dinner. Its one favorite restaurants, I never before. We sat outside, trouble getting table. I ordered Korean Salmon came sizzling asparagus underneath it. The salmon cooked perfectly!!! I impressed! And, delicious! I asked brown rice it, I would recommend doing. It great evening great meal!"
43,"I wanna steal manager TV time chef restaurant ; The bathrooms awesome clean, one REALLY knows restaurant good. Great food, big smiles, sumptuous drinks...what ask"
44,"Im giving 2 stars kids menu, good compared others seen. But comes regular menu I disappointed tonight. In past, I would given Ling Louies 3.54 stars, always pretty good satisfying meal. However, changed menu since last time I dont know means things changed kitchen!! We started appetizer featured Vietnam menu, Summer Rolls 10.95, I feel worth 3.95 grocery store cold bar 34 small pieces shrimp veggies, bland, sauce served next added nothing unfortunately. I ordered Cashew Chicken Stir Fry husband Mongolian Chicken. I felt like something I could ordered fast good Chinese restaurant, terrible, I would expected Ling Louies went husband. Not experienced past here. Bottom line, food mediocre best sure prices back disappointing since used one go places Asian cuisine pleased everyone. We defiantly dont mind spending good cuisine would rather drive little spend elsewhere."
45,"Went yesterday lunch, arrived 1145ish sat bar. There two others sitting I arrived. I sat 15 mins bar tender even greet me. I get menu wall right walk in, way I knew I saw 4 parties get sat thats servers pulling menus. I finally acknowledged I menus. I asked Iced tea, looked like I bothering asking. Again another 5 mins I received tea. He busy dealing take orders, seating people walked in. It another 5 mins place order I looked said I drank tea quickly. Who says To top lady walked moments I received food sat end bar, way spoke astonishing. He could barley hear soft spoken trying order, one point threw hand said never mind lady. I could believe it. He gave name Ill keep I guy. Poor service I ready walk I even received tea. Will never come type service. The food perfect tho feel like ignored want wait 20 mins order taken, place come sit bar. Unreal!"
46,"Ling Louies best place Eva I dont care wat people say. Food, service drink unforgettable life changing."
47,"Service sub par. We werent greeted upon entry, almost always preview service like. Although server friendly, attentive. I looked around tables appear servers checking tables. Unless Scottsdale thing people like left alone. Three stars food. I want fair food pretty good, great, worth try. We ordered beef lo mein, tender pieces beef perfectly medium rare; however, entire dish burnt wok taste. Kind like tastes like grill needs cleaned. The honey walnut shrimp served bed rice. Clearly food served individuals rather family style. We shared everything family style anyway. Lastly ordered meatloaf. Not sure fits Asian fusion okay."
48,"All food excellent, especially sliders. Our waitress excellent. We many times never disappointed."
49,"Ling Louies quite alright... nothing leaves instantly craving return trip; good enough Im really glad tried it. We started trying couple appetizers; crab wontons coconut shrimp. Both pretty tasty served sweet tangy tropical sauce I quite enjoyed. I wish crab wontons would bit crunchier though. For main dish split Fn Sliders mini burgers loaded strips steak. They werent bad, pretty messy hard eat without feeling like slob. The best thing probably Tom Kai Gai soup... slightly spicy flavorful. This type place thatd probably work little better PeiWeis type set up,,, casual, almost barlike atmosphere... doesnt feel like youre Asian restaurant youre here. In end... cool concept Asian dishes traditional American fusions didnt wow like could have. Still solid spot fun menu try. 3.55."
50,"Im surprised place got mixed reviews. I went food ate deelish. We took advice wonderful server, Jill definitely ask shes great!. She recommended Fire Rock Pale Ale, Spicy Ahi Tempura Roll, Jewelled Beef Noodles Surf Turf Vegetable Fried Rice. Everything perfectly spiced sauced; beef tender veggies fresh. It little pricey, check daily specials. Ill definitely pop again!"
51,"I frequently visiting restaurant 10 years now. My favorite dish Evil Jungle Princess Chicken never disappoints. Houston, Paul, Robbie, Sherry excellent staff members Happy Hour Specials excellent. One favorite go restaurants. I always bring town guest Ling Louies love it."
52,Fire red headed Chuckie doll awful came table never refilled water took forever serve us wasnt even rush hour chill sunday afternoon saw coworkers countless times helpful customers food ok Thai Basil better cheaper Update john b didnt ask u u thought necessary
53,Great original concept. Wish closer. Chicken rice soup die for. Great happy hr.
54,Friendly atmosphere waitstaff. Happy hour apps great value. Happy Hour drink prices ok. Try crispy calamari...its excellent!
55,"I went group lunch 31518. Had heard place thought I would try it. I New Wave Pad Thai. I dont know new wave it. I better pad thai frozen section Trader Joes. This place pricey caliber food get. Tried wont back. I much, much better Asian food valley."
56,"Ok, isnt excactly Lings, Louies. I would describe asian inspired healthy twist. This hands favorite lunch spot. They make amazing food, great deals. Not mention conveinently next door Golden Spoon yogurt. The fall total creep works bar. Mid 50s, greesey pony tail, dangly earring..total weirdo. He space invader sure. I go state panic time go thought I could end section. He one thinks 20something, attractive funny. He gets knees level sitting joins conversation. It really annoying almost enough make avoid joint."
57,"Ive food service spot husband I love eating here. However, disappointed tonight. Soup like warm salty eat. Server got drink order wrong served brown rice instead Jasmine. Never checked back. Waited forever get check wrong. Waited another 15 minutes could get corrected. Asked manager insincere apology offered 10 discount next visit. He came back readjusted bill 25 discount future visit. I hope bring standards back up."
58,"This one favorite places go many reasons. The food unique large portions, many locals sitting bar, bartenders totally top customers service. Not mention patio cool"
